날짜,카테고리,지역,매출,방문자수,전환율
2024-01-01,전자제품,서울,1500000,2500,6.2
2024-01-01,의류,서울,800000,1800,4.4
2024-01-01,식품,서울,600000,1200,5.0
2024-01-02,전자제품,부산,1200000,2000,6.0
2024-01-02,의류,부산,700000,1500,4.7
2024-01-02,식품,부산,500000,1000,5.0
2024-01-03,전자제품,대구,900000,1500,6.0
2024-01-03,의류,대구,600000,1200,5.0
2024-01-03,식품,대구,400000,800,5.0
2024-01-04,전자제품,서울,1600000,2600,6.2
2024-01-04,의류,서울,850000,1900,4.5
2024-01-04,식품,서울,650000,1300,5.0
2024-01-05,전자제품,부산,1300000,2100,6.2
2024-01-05,의류,부산,750000,1600,4.7
2024-01-05,식품,부산,550000,1100,5.0
2024-01-06,전자제품,대구,950000,1600,5.9
2024-01-06,의류,대구,620000,1250,5.0
2024-01-06,식품,대구,420000,850,4.9
2024-01-07,전자제품,서울,1700000,2700,6.3
2024-01-07,의류,서울,900000,2000,4.5
2024-01-07,식품,서울,700000,1400,5.0
2024-01-08,전자제품,부산,1400000,2200,6.4
2024-01-08,의류,부산,800000,1700,4.7
2024-01-08,식품,부산,600000,1200,5.0
2024-01-09,전자제품,대구,1000000,1700,5.9
2024-01-09,의류,대구,650000,1300,5.0
2024-01-09,식품,대구,450000,900,5.0
2024-01-10,전자제품,서울,1800000,2800,6.4
2024-01-10,의류,서울,950000,2100,4.5
2024-01-10,식품,서울,750000,1500,5.0